0xC244821E 0xC2429EF9 0xC2B056B1 0x423C311C 0xC168BDE3 0x423BE4A7 0x42076E9F 0x41B6F9C2 0x3FF48F2D 0xC296B3C0 0x41C79A1A 0xC28343A0
0x42A62EF6 0x41FD51F8 0xC1EC323E 0x42A66089 0xC2631F55 0xC28BA0B4 0x42C5B2F9 0xC2B84CC0 0xC2BBFD15 0xC204A320 0x40F9D603 0xC25F9A19
0x426725A8 0x4251508E 0x4121CBE7 0xC1DCD73B 0x42BA32DE 0x422A0DEA 0x42B73B01 0x42C6C61A 0xC265CC24 0x42AF31DB 0x42AD3350 0x4132C952
0xC188956E 0x3FA4BFFD 0xC20ADAC4 0xC18CA680 0x41A13F38 0x423CA2B4 0xC0572DA9 0x42529A04 0x42055051 0x427FD87F 0x40B8EE0F 0xC17E8838
0x42B8DF8E 0x42A007EA 0x424575FC 0x42A7ECD0 0xC1B90D01 0xC2AF5DC7 0xC298292F 0xC2251FEF 0xC298A1C8 0x4269DE56 0x40A2F907 0xC1F4EEC2
0xC26484C8 0xC290C4BA 0xC18189AF 0x419C11D3 0xC284DD49 0xC2844975 0x4077D6CB 0xC1EA2620 0x426F6BDF 0xC21A6C12 0x4133CCFD 0xC289CCE9
0xC16C2D79 0xC0B47721 0xC275CBFF 0xC233B777 0x4282091D 0xC11B63E2 0x428C78E4 0xC2377C15 0x4139A6AE 0xC25475D4 0x41DB0D26 0x424BC3F4
0x41FF5CCA 0xC291924C 0xC22EE8DF 0xC2003CE8 0x428BC08E 0xC1430AE2 0xC25E7090 0x42C65A58 0x42C5CE8F 0xC218FE34 0xC2A6FF90 0xC1B2D365
0xC25647CA 0xC2856DB5 0x42C57275 0x42745B7F 0xC09B4F69 0x4120C9C7 0xC19F020E 0x42A597CA 0xC280B9F4 0x427DB05C 0x40F494A4 0x42465607
0xBE39BCC0 0xC2C2CE68 0x42BC207F 0x41B1FC19 0xC2B839EB 0xC14F2ADD 0xC296C213 0x413CBAE5 0x42B6785B 0x42B0879E 0x424BDE08 0xC160EE6F
0xC1637BBB 0x420F9C56 0x4263175E 0x421D7025 0xC2A28F2D 0x421A34B7 0xC0CA8108 0xC1FDD13A 0xC2733DE7 0xC02F9C36 0x4280BC5A 0x4276844F
0xBE3C3D65 0x401F0072 0xC2B695B1 0xC2C3F407 0xC23AC338 0xC29B9AC4 0x41A0180D 0x413A3B3F 0x4149FB30 0xC19653FE 0x420493E3 0x41B53FFA
0x42037C8A 0xC28A4063 0xC1E7BDC8 0xC192DF84 0x426E72A0 0x42A9A250 0xC29C1605 0xC1FC5DAA 0xC29E53F6 0x42A59424 0xC24C621A 0x42208CA5
0x41EE5632 0x423416C9 0x41B17C30 0x4286F55A 0xC2867701 0xC25E2972 0xC001F5D8 0xC2369FF9 0x408E9A72 0xC2357472 0xC13B81D1 0xC26E59EA
0xC2856437 0xC17DD438 0x421D0EBE 0xC1AF4575 0x41B6BF32 0xC284188D 0x42C694BE 0xC28CC106 0x426C3DAC 0xC1ED5CC3 0x428F2144 0xC1C41B27
0x4253857A 0xC18E64C7 0x428E2181 0xC2A89E45 0x42A18604 0xC289012D 0xC1867EA8 0x41AA7FF5 0x4261A0D4 0xC283C3D5 0xC25E3DDF 0xC2BEE277
